"Date","Price (Open)"
"2019-05-28","8764.607591834294"
"2019-05-27","8717.544110560275"
"2019-05-26","8067.6497848525605"
"2019-05-25","8002.994641650236"
"2019-05-24","7878.941006847437"
"2019-05-23","7631.701544311192"
"2019-05-22","7928.155595591811"
"2019-05-21","7993.780010888633"
"2019-05-20","8192.275747700773"
"2019-05-19","7275.781739644899"
"2019-05-18","7394.447331107994"
"2019-05-17","7872.388720567241"
"2019-05-16","8193.853045851876"
"2019-05-15","7991.474886420691"
"2019-05-14","7818.125448524067"
"2019-05-13","6978.987770382176"
"2019-05-12","7224.958482917408"
"2019-05-11","6347.976239558067"
"2019-05-10","6174.4353311132145"
"2019-05-09","5997.889464913587"
"2019-05-08","5790.596635119028"
"2019-05-07","5756.311235211819"
"2019-05-06","5796.26596537599"
"2019-05-05","5859.541968254829"
"2019-05-04","5705.318399347748"
"2019-05-03","5515.411460703094"
"2019-05-02","5341.630821003578"
"2019-05-01","5286.506689184823"
"2019-04-30","5179.911869805675"
"2019-04-29","5278.74658517948"
"2019-04-28","5180.047722551201"
"2019-04-27","5185.778094544863"
"2019-04-26","5129.709104814995"
"2019-04-25","5449.478915791836"
"2019-04-24","5529.902413866275"
"2019-04-23","5382.17816586581"
"2019-04-22","5303.450559958402"
"2019-04-21","5326.04988633019"
"2019-04-20","5279.095171814045"
"2019-04-19","5290.030833179343"
"2019-04-18","5237.346237207244"
"2019-04-17","5198.108765594365"
"2019-04-16","5037.450687359376"
"2019-04-15","5170.738352362495"
"2019-04-14","5078.853284110247"
"2019-04-13","5068.675132752265"
"2019-04-12","5041.269689212677"
"2019-04-11","5319.691951040239"
"2019-04-10","5192.418421995149"
"2019-04-09","5280.027580863363"
"2019-04-08","5210.645800002279"
"2019-04-07","5047.963278202928"
"2019-04-06","5034.821743041435"
"2019-04-05","4908.84057686065"
"2019-04-04","4975.8648508895285"
"2019-04-03","4903.589843019376"
"2019-04-02","4139.787415888626"
"2019-04-01","4111.026362501773"
"2019-03-31","4116.948383134597"
"2019-03-30","4111.154734368647"
"2019-03-29","4015.578783377611"
"2019-03-28","4042.2836095759503"
"2019-03-27","3936.0215990190923"
"2019-03-26","3923.8420312236967"
"2019-03-25","3978.812300199448"
"2019-03-24","3988.735291679143"
"2019-03-23","4002.233319279126"
"2019-03-22","3978.619907510483"
"2019-03-21","4037.9981076964077"
"2019-03-20","4008.3392931915055"
"2019-03-19","3988.933934918909"
"2019-03-18","3970.338359323283"
"2019-03-17","4001.696415435271"
"2019-03-16","3910.5568750396405"
"2019-03-15","3881.706179214452"
"2019-03-14","3851.6248576551457"
"2019-03-13","3887.015874494344"
"2019-03-12","3857.172521503336"
"2019-03-11","3931.570252720689"
"2019-03-10","3947.5429770662695"
"2019-03-09","3847.529781166482"
"2019-03-08","3896.65794258888"
"2019-03-07","3852.0604720729457"
"2019-03-06","3851.1158531103497"
"2019-03-05","3708.3916358829465"
"2019-03-04","3814.979596952788"
"2019-03-03","3844.9949962713617"
"2019-03-02","3827.883306995332"
"2019-03-01","3803.682914998819"
"2019-02-28","3834.88139762722"
"2019-02-27","3800.916541474792"
"2019-02-26","3824.4225389451044"
"2019-02-25","3762.1922722519507"
"2019-02-24","4123.13767356565"
"2019-02-23","3954.9620418627965"
"2019-02-22","3943.116191335631"
"2019-02-21","3955.2636681526046"
"2019-02-20","3901.8586906390997"
"2019-02-19","3891.3975305352888"
"2019-02-18","3672.880142727591"
"2019-02-17","3591.663582235748"
"2019-02-16","3577.5981927649186"
"2019-02-15","3568.602191929791"
"2019-02-14","3585.3762572501055"
"2019-02-13","3623.3700697173585"
"2019-02-12","3598.545960648519"
"2019-02-11","3678.4254535821165"
"2019-02-10","3629.2557395306667"
"2019-02-09","3636.8748991764933"
"2019-02-08","3363.7592900352406"
"2019-02-07","3378.287088598644"
"2019-02-06","3437.156300912793"
"2019-02-05","3416.237465130942"
"2019-02-04","3425.7584980916645"
"2019-02-03","3485.100524022556"
"2019-02-02","3444.966453648191"
"2019-02-01","3437.2130168824597"
"2019-01-31","3449.5357287525158"
"2019-01-30","3403.94151509493"
"2019-01-29","3440.234683080708"
"2019-01-28","3541.998439846007"
"2019-01-27","3589.9395082469323"
"2019-01-26","3567.1936333275075"
"2019-01-25","3576.5441894069654"
"2019-01-24","3563.1036572682365"
"2019-01-23","3585.3679722519364"
"2019-01-22","3539.3371799716915"
"2019-01-21","3561.431209480776"
"2019-01-20","3694.9004313874916"
"2019-01-19","3613.590125085769"
"2019-01-18","3644.056456912214"
"2019-01-17","3611.966766631849"
"2019-01-16","3587.6647815253045"
"2019-01-15","3671.010337344625"
